career_objective,skills,degree_names,positions,locations,responsibilities,role_positions,certification_skills
PhD cleanroom expert looking for an opportunity to work as a full-time module/process engineer in Lam Research,"['Academic', 'Documentation', 'Edge', 'Fiber optics', 'Laser', 'Mechanical', 'Scanning']","['Ph. D', 'M. S', 'B. S']","['Process Engineering Intern', 'Research Assistant', 'Graduate Researcher']","['City, State', 'City, State', 'City']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",['N/A'],
,"['Live Electrical', 'Arc Flash', 'Lock-Out/Tag-Out', 'ESD', 'functional testing', 'test equipment repair and operation', 'troubleshooting', 'ISO-9001 standards', 'electrical equipment operation', 'Mechanical repair', 'oil servicing', 'Power Generation', 'soldering', 'electrical component repair', 'safety awareness', 'schematics', 'blueprints', 'drawings', 'various testing equipment', 'equipment/wiring installation', 'solenoid/valves', 'PC repair', 'fabrication', 'well organized', 'self motivated', 'excellent written and verbal communication skills']","['Bachelor of Science', 'Diploma']","['Engineering Technician III', 'Generator Test Technician III', 'Unmanned Aerial Vehicle (UAV) Maintenance Technician', 'Electrical Power Generation Equipment Repairer Technician']","['City , State', 'City , State', 'City , State', 'N/A']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,[None]
To obtain a computer engineering internship at XYZ Company that will utilize my problem-solving abilities and to further sharpen my skills in computer science.,"['Python', 'Java', 'HTML 5', 'SQL', 'C Programming', 'Excel', 'Access']",['Bachelor of Science'],"['Software Engineering Intern', 'IT Help Desk Support']","['Minneapolis, Minnesota', 'Fargo, North Dakota']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",['Student Senator'],
Adept at extracting and combining data from multiple sources to come up with KPIs which have a direct impact on the bottom line of a project.,"['Data Analysis', 'Data Visualization', 'Deep Learning', 'Machine Learning', 'Adobe Analytics', 'Excel', 'Matplotlib', 'Python']",['B.tech'],['Analyst Support'],"['Chicago', 'Chicago', 'Mumbai', 'N/A', 'N/A']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
I am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,"['Research Associate', 'Business Analyst', 'Business Analytics', 'Data Mining', 'Data Modeling', 'Predictive Analysis', 'Business Intelligence', 'Machine Learning', 'Market Research', 'Customer Engagement', 'Risk Management', 'Retention', 'Audience', 'Python']",['B.Tech'],['Associate Market Research Analyst Intern'],"['City', 'City', 'City', 'City']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,[['Python']]
Data Engineer who is experienced with Text Analytics and Natural Language Processing. I have also worked on Big Data Analytics using hadoop,"['Machine learning', 'Data science', 'PowerBI', 'Data visualisation', 'Data Mining', 'Data Modelling', 'Data Extraction', 'Text Analysis', 'Natural Language Processing']",['B.Tech'],['N/A'],"['N/A', 'N/A', 'N/A', 'N/A']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",['N/A'],
As a junior analyst I currently work with data preprocessing and data cleaning before sending them to Machine Learning Models. I am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,"['Data Analysis', 'Tableau', 'PowerBI', 'R', 'Python', 'Statistical Analysis', 'L1 L2 Regression', 'Machine Learning']",['B.Tech'],['Data Analyst Intern'],"['Euclid, OH', 'Cleveland, OH', 'Columbus, OH']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
"Highly motivated mechanical engineering student (EIT) interested in pursuing an engaging position in the corporate setting to implement skills honed through years of engineering background. A dedicated student with problem-solving, leadership, and communication skills along with the capability to build relationships and work in a team-oriented environment.","['Academic', 'acrylic', 'AutoCAD', 'CAD', 'concept', 'Engineer-In-Training', 'EIT', 'estimating', 'drawing', 'graphics and design', 'Laser', 'Material Science', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Word', 'design process', 'progress', 'Project management', 'proposals', 'Reporting', 'Research', 'robotics', 'safety', 'SolidWorks', 'Statistics', 'Time management', 'verbal communication skills', 'weighing', 'Written']",['Bachelor of Science'],"['Mechanical Engineering Intern', 'Systems Engineering Intern']","['City, State', 'City, State']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","['Teaching Assistant', 'Academic mentor']",[None]
,,"['Ph.D.', 'M.S.']","['Professor Emerytus', 'Professor', 'Director of Graduate Studies', 'Associate Professor', 'Associate Professor', 'Assistant Professor', 'Visiting Assistant Professor', 'Assistant Professor', 'Teaching and Research Assistant']","['Lexington, KY', 'Lexington, KY', 'Lexington, KY', 'Lexington, KY', 'New York, NY', 'New York, NY', 'New York, NY', 'Warsaw, Poland', 'Warsaw, Poland']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,
I am a software developer currently working on Machine Learning Projects. The domain of analytics and Machine Learning has amassed a greater interest for me and I want to explore and learn about the core concepts used in production. I am looking to switch to a fulltime role that will help me explore more about this.,"['Statistical Modeling', 'Natural Language Processing', 'Text Mining', 'Python', 'PySpark', 'Microsoft Azure', 'Azure Databricks', 'Azure Data Factory', 'SQL', 'Machine Learning Engineer', 'Data Analyst']",['B.Tech'],['Software Developer (Machine Learning)'],"['City, State', 'City, State', 'N/A']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",[None],
,"['Microsoft Project', 'Microsoft Office', 'Microsoft Visio', 'IBM Rationale DOORS', 'Communication/Presentations', 'Risk Analysis', 'Process Improvement', 'CMPro', 'Air Force', 'budget', 'Hardware', 'Conflict Management', 'continuous improvement', 'DC', 'delivery', 'DOORS', 'electrical engineering', 'electrical systems', 'Engineer', 'Estimating', 'senior management', 'functional', 'drawing', 'Hardware Design', 'IBM', 'Leadership', 'Team Leadership', 'Leadership Development', 'Materials', 'mechanical', 'mechanical engineering', 'Microsoft Visio', 'Navy', 'peer review', 'power distribution', 'power supplies', 'Presentations', 'Process Improvement', 'procurement', 'producing', 'Project Management', 'Project Planning', 'proposals', 'quality', 'Risk Analysis', 'schematics', 'Siemens', 'software engineering', 'staffing', 'Systems Engineering', 'video']","['Master of Business Administration', 'Bachelor of Science', 'Project Management Graduate Certificate']","['Multi-Skilled Engineering Manager', 'Lead Systems Engineer', 'Lead Electrical Engineer', 'Electrical Engineer']","['City, State', 'City, State', 'City, State', None]","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,
,"['New Business Development', 'Pricing Proposal Development', 'P & L Management', 'Customer Relationship Management', 'Strategic Planning', 'Key Account Management', 'Contract Negotiations', 'NPI/JDM/ODM', 'Financials Budgeting & Forecasting', 'Sales', 'PCB', 'Account Management', 'Customer Service']",['Bachelor of Science'],"['Director Business Development', 'Regional Account Manager', 'Director of Sales', 'Quality Manager']","['City, State', 'City, State', 'City, State', 'City, State']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,[['CRM Training and Certification (SalesForce.com)']]
,"['Data Scientist', 'Data Analyst', 'Software Development', 'Machine Learning', 'Natural Language Processing', 'Business Solutions', 'Process Flow', 'Logistic Regression', 'MySQL', 'MongoDB', 'Python', 'PowerBI', 'Hadoop']",['B.E. (Data Engineering)'],['Data Scientist'],"['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",['NLP Developer'],
,"['Executive Decision Maker', 'Process Design & Improvement', 'New Product Development', 'Strategic Planning & Development', 'Lean & Six Sigma Practitioner', 'Product Design', 'Budgetary and Policy Development', 'Automation Design', 'Quality Control', 'Project Management & Execution', 'Economic Analysis', 'Ergonomic and Safety Conscious']","['Master of Business Administration', 'Bachelor of Science', 'Manufacturing Engineering Technology']","['Engineering Manager', 'Project Manager', 'Senior Manufacturing Engineer', 'Senior Manufacturing Engineer', 'Manufacturing Engineer']","['Boyden, IA', 'Oshkosh, WI', 'Jackson, MN', 'Spencer, IA', 'Emmetsburg, IA']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","['CoFounder, Coach, and Mentor']",
Fresher Data Engineer who is experienced in pipeline building and analytics. Seeking to leverage my technical and analytical skills to drive growth of the organization.,"['Data Engineer', 'Data Analytics', 'Data Visualization', 'Machine Learning', 'Statistical Modeling', 'Predictive Modeling', 'MongoDB', 'PowerBI', 'Tableau', 'Python', 'MySQL']","['B.Tech', 'PG Diploma']",['Data Engineer Associate'],"['Hannover, Germany']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,
,"['New Business Development', 'Sales Management', 'MS Office Suite', 'Salesforce / CRM']","['Masters of Business Administration', 'Bachelors of Science', 'N/A']","['Director of Business Development', 'Director of Business Development', 'Director of Business Development', 'Director of Sales Operations and Business Development', 'Sales Director', 'Regional Publishing Consultant', 'Senior Sales Representative', 'Owner', 'Branch Manager']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,
"Leadership and team building oriented mentality. Working towards of being a better professional, someone on whom a company can easily rely on. Looking for roles where I can learn and grow my skillset.","['DBMS', 'RDBMS', 'Software Developer', 'Software Engineer', 'Java', 'SAS', 'SQL', 'Business Intelligence', 'Learning Algorithm', 'Machine Learning', 'Python']",['Integrated B.Tech & M.Tech'],['Intern'],"['City, State', 'City, State', 'N/A']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",['Python Programming'],
"Associate Solution Advisor currently enrolled in PG for Data science, Knowledge in data manipulation, analysis, reporting and data visualization. In depth knowledge of tools used for production.","['Machine Learning', 'Data Analysis', 'Data Visualization', 'Risk Assessment', 'Debugging', 'Database Management', 'Access Control', 'IAM', 'Sail point', 'Java', 'Python', 'MySQL', 'MongoDB', 'Data Structures']",['B.E. (Computers)'],['SDE for Software Caging'],"['City, State', 'City, State', 'Kuwait', 'City, State', 'City, State', 'Udaipur, India']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,[['Software Fundamentals']]
"To advance in professional and personal experiences within Finance, Tax Accounting and Management To obtain a Staff Accountant position that will enable me to perform my best using my mathematical, numerical, accounting and analytical ability for the betterment of the organization.","['Microsoft applications', 'Excellent writing skills', 'Research support', 'Analytical skills', 'Accounting', 'billing', 'C programming', 'closing', 'consultant', 'Consulting', 'credit', 'Client', 'clients', 'customer care', 'data entry', 'database', 'debit', 'delivery', 'documentation', 'editing', 'Senior Management', 'fetch', 'filing', 'Financial', 'Forms', 'Full Life Cycle', 'funds', 'General Ledger accounts', 'legal', 'managing', 'Excel', 'office', 'Windows', 'Microsoft Word', 'month-end closing', 'Oracle', 'Oracle database', 'Designer 2000', 'Developer', 'OS/2', 'processing payments', 'policies', 'processes', 'proposals', 'Quality assurance', 'read', 'real estate', 'reporting', 'requirement', 'Sales', 'scheduling', 'scripts', 'Solomon', 'SQL', 'System Integration', 'tables', 'Tax accounting', 'Tax', 'tax returns', 'Technical documentation', 'telephone', 'upgrades', 'utilities']","['Diploma', 'Bachelor of Science']","['Staff Accountant', 'Financial Aid Accounting Administrator', 'Customer Care Consultant', 'Computer Programmer', 'Computer Programmer Analyst']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
,"['Account reconciliation', 'accounting', 'general accounting', 'accounting software', 'accounts payables', 'accounts receivables', 'A/P', 'Arabic', 'Balance sheet', 'bank reconciliations', 'banking', 'billing', 'bookkeeping', 'budgeting', 'budgets', 'budget', 'closing', 'Strong communication skills', 'Controller', 'client', 'clients', 'documentation', 'English', 'Equity', 'finance', 'financial', 'financial analysis', 'analyze financial statements', 'financial statements', 'prepare financial statements', 'Fixed Assets', 'forecasting', 'general ledger', 'GL', 'inventory', 'Investments', 'ledger', 'market', 'Access', 'Excel', 'Outlook', 'PowerPoint', 'MS Word', 'monitors', 'organizational', 'payables', 'payroll', 'personnel', 'problem solving', 'processes', 'Profit', 'Profit and loss account', 'Public Accounting', 'Express', 'QuickBooks', 'reporting', 'Sales', 'supervision', 'Swedish', 'Tax', 'tax returns', 'year-end']","['Master of Accountancy', 'Bachelor of Accountancy Degree', 'Bachelor of Accountancy', 'Certificate of Business Administration']","['Accountant', 'Accountant', 'Accounting Manager', 'Staff Accountant Finance Manager']","['City, State', 'City', 'City', 'City']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,
,"['PLC', 'IEC 61131 (Ladder Logic, Functional Block Diagram, Structured Text, Instruction List.)', 'Java', 'C', 'Visual Basic', 'VHDL', 'PSpice', 'Assembly (Intel, Motorola, TI)', 'Labview', 'AutoCAD', 'Inventor', 'Matlab', 'Microsoft Office', 'PSIM', 'Easy Power', 'Xilinx ISE', 'Printed Circuit Board CAD (Protel)', 'Siemens Step 7', 'Wago CoDeSys', 'Allen Bradley RSLogix', 'ERP (Alliance, Global Shop, XA, SAP)', 'API', 'automation', 'budgeting', 'cabling', 'CAD', 'Conversion', 'client', 'clients', 'DC', 'Designing', 'flash', 'Functional', 'hardware design', 'HP', 'HVAC', 'instruction', 'Intel', 'microprocessor', 'Modeling', 'Motorola', 'Power distribution', 'power generation', 'processes', 'Programming', 'proposals', 'Renovation', 'renovations', 'safety', 'scheduling', 'schematics', 'Siemens', 'simulation', 'staff management', 'Structured', 'Supervising', 'switchgear', 'tender', 'troubleshoot', 'troubleshooting', 'validation']",['Bachelor of Science'],"['Engineering Supervisor', 'Electrical Design Engineer', 'Project Engineer', 'Facility Engineer', 'Automation Engineer, Intern']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,
,"['Electronic & Mechanical Technology', 'Maintenance Management', 'Project Management', 'Program Management', 'Lean/six sigma principles', 'Mechanical Component Troubleshooting', 'Quality Assurance/Control', 'Material Management', 'Staff Development/Leadership', 'Technical Interface', 'Safety Compliance', 'Microsoft Office', 'Microsoft Project', 'Microsoft Access', 'SAP', 'SharePoint']","['MBA', 'Bachelor of Science', 'Associate of Science']","['Engineering Project Manager III', 'Field Engineer/Maintenance Support Engineer', 'Aircraft Mechanic / Electrician / Avionics Technician']","['City, State', 'City, State', 'State']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,"[None, None]"
,"['Bi', 'Business Intelligence', 'Progress', 'Loans', 'Mortgage', 'Business Development', 'Marketing', 'Operations', 'Training', 'Solutions', 'Adc', 'Business Requirements', 'Correspondence', 'Fannie Mae', 'Gse', 'Metrics', 'Project Plans', 'And Marketing', 'Budget', 'Business Process Improvement', 'Clients', 'Coaching', 'Contracts', 'Drafting', 'E-learning', 'Federal Acquisition', 'Federal Government', 'Fedex', 'Integration', 'Integrator', 'Maintenance', 'Marketing Collateral', 'Marketing Department', 'Marketing Plan', 'Mentoring', 'Pricing', 'Process Improvement', 'Proposal Development', 'Strategic Marketing', 'User Experience', 'Web Based', 'Web-based', 'White Papers', 'B2c', 'Finance', 'Increase', 'Instructor', 'Investor Relations', 'Lending', 'Market Share', 'Mortgage Banking', 'Mortgage Lending', 'Real Estate', 'Retail', 'Retail Marketing', 'Retail Mortgage', 'Data Mining', 'Networking', 'Pentaho', 'Promotional', 'Sales', 'Sales Manager', 'Sap', 'Strategic Planning', 'Act!', 'Business Writing', 'Compounding', 'Excel', 'Fundraising', 'Horizontal', 'Hospital Pharmacy', 'Inventory', 'Mckesson', 'Microsoft Office', 'Microsoft Sharepoint', 'Ms Office', 'Outlook', 'Outpatient', 'Powerpoint', 'Project Management', 'Publisher', 'Robotic', 'Sharepoint', 'Siebel', 'Six Sigma', 'Six-sigma', 'Visio', 'Word', 'Pharmacy', 'Mba']","['Pharmacy Technician', 'Executive MBA', 'Bachelor of Arts']","['Senior Business Development Manager', 'Business Development / Sales Manager', 'Marketing Manager', 'Senior Mortgage Specialist']","['Washington, D.C.', None, None, None]","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",['Former Member'],"[None, None, None]"
,"['Data Analysis', 'Data Science', 'Data Visualization', 'Machine Learning', 'Artificial Intelligence', 'Decision Tree', 'Clustering', 'Python', 'SQL', 'Microsoft Excel']",['B.E'],['Student Research Assistant'],"['San Jose, CA', 'Milpitas, CA']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",['Data science and analytics'],
,"['Data Analyst', 'Data Mining', 'Data Visualization', 'Machine Learning', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'SQL Server', 'Oracle', 'Python']",['B.Tech'],['Intern Trainee'],"['Nairobi, Kenya']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting","['with Python', 'with Power BI']",
,"['Adobe Creative Suite', 'Adobe Acrobat', 'Photoshop', 'advertising', 'API', 'benefits', 'Branding', 'business development', 'competitive', 'Competitive Analysis', 'Content Development', 'creativity', 'CRM', 'Client Support', 'data management', 'Illustrator', 'InDesign', 'DIRECTOR', 'marketing plans', 'Market Research', 'Marketing Strategies', 'marketing strategist', 'marketing', 'market', 'Media Relations', 'messaging', 'Microsoft Dynamics', 'MS Outlook', 'works', 'communicator', 'organizational skills', 'outside sales', 'Positioning', 'presenter', 'problem-solver', 'processes', 'purchasing', 'quality control', 'Fast learner', 'Real Estate', 'reporting', 'research', 'Sales', 'software development', 'strategy', 'strategic', 'technical sales', 'trainer', 'Training Materials', 'vision', 'writer']",['Bachelor of Science'],"['Director of Business Development', 'Director of Franchise Sales', 'N/A']","['N/A', 'Corporate Atlantic Region', 'N/A']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




","['Youth Rec. Cheerleading Coach', 'League Director']",
"A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; Ensures the organization uses it effectively to reach profit and growth objectives. Comfortable with data handling, modeling, and coding, and have an appreciation of what makes sense from a business standpoint. More than six years of experience working as a researcher, data analyst, and environmental science and Technology Instructor. Experience in SQL, data warehousing, maintaining, securing and stabilizing data layers and testing to identify data and product defects introduced in the system. Customer segmentation, product positioning and mapping and conjoint analysis Modelling: Design and implement statistical / predictive models and cutting edge algorithms utilizing diverse sources of data to predict Diversified experience with Engineering, Manufacturing, Retailing, Higher Education and IT /Data related companies Fascinated by learning cutting edge technologies, such as; Data Mining and Machine Learning Handled a team of 4 during my 3 years of Tech experience and managed more than 200 students and effectively evaluated the performance of each student and utilize assessment methods to judge overall progress during my teaching experience.","['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['Master of Science', 'Master of Science', 'Bachelor of Science']","['Engineering and Quality Technician', 'Lecturer in Environmental Science and Technology', 'Assistant Lecturer in Natural Resource Management']","['City, State', 'N/A', 'N/A']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
,"['Technical Support', 'Telecom Support', 'Networking Support', 'Software/PC/LAN Troubleshooting', 'Installing, Configuring, Troubleshooting Windows, Linux and OS X', 'Installing, Configuring, Troubleshooting SoHo Networks', 'Creating & Updating documentation', 'Software Installation, configuring, and Troubleshooting', 'Implementing, Configuring network and End User Security', 'Mobile device Support', 'Printer Support', 'CLI Knowledge', 'VOIP, Video Chat Support', 'Critical Thinking with Root Cause Analysis', 'Encryption', 'File Structures', 'Network Protocols', 'AAA Security Model', 'Accounts and Group policy', 'Browser Support', 'Operating Systems: Windows 7-10, Ubuntu 14.04, OS X 10.8-10.11, ChromeOS, iOS9, Android', 'Applications: MS Office 2010-2016 (Word, Excel, PowerPoint, Outlook), Google Apps (Drive, Docs, Sheets, Slides, Keep, Forms, Sites), Google Drive Sync Client, Internet Explorer, Firefox, Chrome, Safari, Edge, OpenVPN, Wireshark, Sublime Text, MSRA, Microsoft RDP, OpenSSH, Puppet, SCCM 2012 iOS-MDM', 'Networking: TCP/IP, DNS, DHCP, LAN/WAN, VPN/Remote Connectivity - OpenVPN, some basic Cisco iOS, Microsoft Virtual PC/Hyper-V, TeamViewer, Terminal Services, Netgear, Linksys, Firewall, Ports, experience in Routing & Switching (OSPF / BGP / VLAN / STP)', 'Hardware: Dell, HP, IBM/Lenovo, Apple, Microsoft, desktop, laptops. Android Smartphones tables, and wearables. iPhones and iPads. Printers, Routers, Switches, Modems, Wireless Routers, Video Conferencing equipment (TV, Projectors, Microphones, Speakers)', 'Security: Basic knowledge of IPSEC / SSL-VPN / NAT / GRE, some experience with Authentication Protocols (Radius / TACACS), Strong desire to learn more', 'A+', 'Active Directory', 'Antivirus', 'Apple', 'Bash', 'Basic', 'BGP', 'CAD', 'call center', 'CCNA', 'CD-ROM', 'CLI', 'Cisco iOS', 'Cisco', 'com', 'Hardware', 'computer hardware', 'Council', 'Critical Thinking', 'Encryption', 'Client', 'Dell', 'DHCP', 'documentation', 'DNS', 'Edge', 'email', 'Firewall', 'Forms', 'Help Desk Support', 'HP', 'IBM', 'Insurance', 'Internet Explorer', 'LAN', 'laptops', 'Linux and OS', 'Linux', 'access', 'Excel', 'mail', 'Microsoft Office', 'MS Office', 'Outlook', 'PowerPoint', 'Windows 7', 'Microsoft Windows', 'Windows', 'Word', 'Modems', 'MSI', 'Networking I', 'Network', 'Networking', 'Networks', 'Operating Systems', 'OS', 'OSPF', 'policies', 'Printer', 'Printers', 'Protocols', 'Python', 'Routers', 'Routing', 'scripting', 'Software Installation', 'SolidWorks', 'SSL', 'Switches', 'system administration', 'tables', 'TCP/IP', 'TV', 'troubleshooting I', 'Troubleshooting', 'Video', 'Video Conferencing', 'VPN', 'VOIP', 'WAN']",,"['Corporate Engineering Support Technician', 'Help Desk Support Analyst II']","['City , State', 'City , State']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,"[['System Administration', 'Windows Server', 'Networking', 'Security', 'System Management']]"
"I am a Master of Data Science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. I can offer a strong programming skills and good academic results together with a sound knowledge of implementing Machine learning techniques. Also, I am keen to learn new skill sets that the role demands. I am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed.","['Software Development', 'Client Management', 'Technical Architecture', 'Data Visualization', 'Data Science', 'Python', 'Statistics', 'Machine Learning', 'Learning Algorithm', 'Heuristics']","['B.Tech(Computers)', 'Masters (Data Science)']",,"['City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",['Data Management on large scale'],
"strong willingness to exhibit my proficiency in Analytical tools, Statistics and Computing Methodologies in the professional environment.","['Python', 'Webscrapping', 'PowerBI', 'Data Cleaning', 'Data Preparation', 'Data Analysis', 'Predictive Modeling', 'Data Analytics', 'Pivot Table', 'SQL', 'PostgreSQL', 'Analytics', 'Excel', 'Machine Learning', 'XML']",['Bachelor of Science'],['Junior Analyst'],"['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,"[['R', 'Python', 'PowerBI']]"
,"['C', 'R', 'Catia', 'AutoCAD', 'ANSYS', 'Microsoft office', 'Product Project Management', 'GD&T', 'Minitab', 'Kanban', 'Kaizen', 'FMEA', 'development', 'Toyota production systems', 'APQP', 'PPAP', '8D', '5 why', ""KPI's"", 'Reliability SAE Standards', 'Vehicle ergonomics', 'DVP&R', 'QCC', 'CNC engineering', 'Programming', 'anatomy', 'benchmarking', 'lean manufacturing', 'manufacturing process', 'cost analysis', 'packaging', 'process engineering', 'Product Development', 'surveys', 'validation', 'welding']","['Master of Science', 'Bachelor of Engineering']","['Engineering Assistant', 'Engineer']","['City , State', 'City , State']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,
"Passionate, motivated and highly conjugated towards a building mentality. Perfecting for a better code is always my ideology.","['Machine Learning', 'Data Structures', 'Data Mining', 'Data Modeling', 'Python', 'Java Programming', 'Algorithms']",['B.Sc'],"['Automation Engineer', 'Data Engineer']","['N/A', 'N/A']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",['N/A'],
