Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Company
2 to 12 Years,M.Tech,$64K-$96K,Palikir,Contract,Research Scientist,Research Analyst,"Research Analysts conduct research, collect data, and analyze information to support business decision-making. They generate reports and recommendations based on their findings to aid in strategic planning.",Data collection and analysis Market research tools and techniques Survey design and analysis Qualitative and quantitative research methods Report writing and presentation skills,Bed Bath & Beyond
3 to 10 Years,MCA,$64K-$98K,San Jose,Part-Time,Software Engineer,DevOps Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills",China Mobile
2 to 14 Years,B.Com,$63K-$97K,BogotÃ¡,Intern,Sales Consultant,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,Wells Fargo
0 to 12 Years,BCA,$65K-$91K,Conakry,Full-Time,Software Tester,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",LKQ
3 to 11 Years,BCA,$56K-$119K,Kabul,Part-Time,Mechanical Engineer,Mechanical Design Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.","Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping",Continental AG
5 to 10 Years,BCA,$61K-$120K,Naypyidaw,Full-Time,Sales Manager,Key Account Manager,"Manage key client accounts, build strong relationships, and drive revenue growth.",Key account management Relationship building Sales negotiation,WestRock
1 to 12 Years,M.Com,$61K-$99K,Georgetown,Part-Time,Quality Assurance Analyst,QA Tester,"QA Testers assess software and applications for defects and quality issues. They conduct testing procedures, report bugs, and work with development teams to ensure the delivery of high-quality software products.","Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing",Textron
4 to 14 Years,MBA,$63K-$128K,Libreville,Contract,Legal Advisor,Legal Counsel,"As a Legal Counsel, your responsibilities include providing legal advice, drafting contracts, and ensuring compliance with laws and regulations. You will represent the company in legal matters, negotiate agreements, and mitigate legal risks. Your role involves staying informed about changes in the law and advising management on legal issues affecting the business.",Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance,TAG Immobilien AG
0 to 12 Years,B.Tech,$61K-$116K,Kinshasa,Contract,Procurement Specialist,Sourcing Analyst,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.",Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation,British American Tobacco
5 to 12 Years,MCA,$57K-$88K,Sri Jayawardenepura Kotte,Intern,Project Manager,Agile Project Manager,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.","Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)",Chevron
0 to 12 Years,MBA,$60K-$112K,Bangui,Part-Time,Copywriter,Creative Copywriter,"Creative Copywriters craft engaging and persuasive copy for marketing materials, advertisements, and content marketing campaigns. They use their writing skills to captivate audiences and convey brand messages effectively.",Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing,Playtech
4 to 15 Years,PhD,$56K-$91K,Warsaw,Full-Time,Public Relations Specialist,Crisis Communication Manager,"Crisis Communication Managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication,Foot Locker
5 to 14 Years,BBA,$60K-$117K,Mogadishu,Part-Time,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Cintas
2 to 9 Years,PhD,$61K-$87K,Muscat,Contract,Electrical Designer,Lighting Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,American Express
2 to 13 Years,BA,$59K-$97K,Kigali,Full-Time,Systems Administrator,Database Administrator,"Database Administrators manage databases, ensuring data integrity, security, and efficient performance. They design, implement, and maintain databases while troubleshooting issues.","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",AGCO
3 to 14 Years,BA,$60K-$128K,Yaounde,Part-Time,Inventory Analyst,Inventory Control Specialist,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,Newell Brands
3 to 10 Years,B.Tech,$56K-$114K,Prague,Part-Time,Tax Consultant,Personal Tax Consultant,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,Expedia Group
3 to 10 Years,B.Tech,$58K-$124K,Honiara,Contract,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail",Unilever
0 to 14 Years,B.Tech,$63K-$123K,Saint John's,Intern,Database Administrator,Database Security Specialist,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Quest Diagnostics
0 to 11 Years,M.Tech,$63K-$90K,Paris,Part-Time,IT Manager,Infrastructure Manager,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management",Fortune Brands Innovations
4 to 8 Years,MCA,$63K-$82K,Nuuk,Full-Time,Legal Counsel,Corporate Attorney,"Corporate Attorneys provide legal counsel and representation to organizations. They handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.",Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills,Siemens AG
1 to 11 Years,BA,$64K-$94K,Philipsburg,Intern,Occupational Therapist,Geriatric Occupational Therapist,A Geriatric Occupational Therapist works with elderly individuals to address age-related health issues and maintain independence and quality of life.,"Geriatric assessment and evaluation Geriatric-specific occupational therapy techniques Aging-related conditions (e.g., dementia, arthritis) Fall prevention strategies Care coordination with healthcare teams Assistive technology for seniors Patient advocacy Empathy and compassion Communication skills",International Paper
0 to 11 Years,BA,$61K-$117K,Port-au-Prince,Intern,Graphic Designer,Print Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",Charter Communications
3 to 14 Years,M.Com,$56K-$102K,Helsinki,Part-Time,Web Developer,Frontend Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",BMW Group
2 to 9 Years,M.Com,$57K-$100K,Kathmandu,Part-Time,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,Graybar Electric
1 to 12 Years,BBA,$57K-$89K,San Juan,Part-Time,Project Manager,IT Project Manager,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.",Project management Team leadership Risk management Budgeting Communication skills,Diageo
2 to 9 Years,MBA,$65K-$116K,Rabat,Full-Time,Research Analyst,Social Science Researcher,"A Social Science Researcher conducts research in fields such as sociology, psychology, or anthropology to study human behavior and social phenomena, contributing to academic knowledge.","Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy",Williams-Sonoma
5 to 15 Years,M.Com,$59K-$89K,LomÃ©,Part-Time,Marketing Manager,Digital Marketing Manager,"Digital Marketing Managers lead digital marketing efforts, including SEO, SEM, social media, email marketing, and content strategy. They develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales.","Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)",Carnival Corporation & plc
2 to 8 Years,MCA,$57K-$84K,Copenhagen,Intern,Database Administrator,Database Security Specialist,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Autoliv
1 to 8 Years,M.Com,$64K-$125K,Nairobi,Full-Time,Database Developer,NoSQL Database Engineer,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Science Applications International
0 to 15 Years,MCA,$62K-$124K,BogotÃ¡,Part-Time,Digital Marketing Specialist,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",Sinochem Group
4 to 15 Years,MBA,$55K-$117K,Dodoma,Part-Time,Paralegal,Corporate Paralegal,"Provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.",Corporate legal tasks Document drafting Compliance Corporate governance Contract management Due diligence Entity formation Communication with stakeholders Attention to detail Technology proficiency Legal software proficiency Legal research skills,Freeport-McMoRan
1 to 10 Years,PhD,$57K-$82K,Male,Intern,Customer Support Specialist,Technical Support Specialist,"Technical Support Specialists assist customers or end-users with technical issues related to products or services. They provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction.","Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation",Infosys
1 to 11 Years,BA,$62K-$90K,Gitega,Intern,UX/UI Designer,User Experience Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Keurig Dr Pepper Inc.
1 to 13 Years,PhD,$55K-$126K,Madrid,Contract,Legal Assistant,Litigation Support Specialist,"Assist in the preparation of litigation cases, manage electronic discovery, and handle technical aspects of trial preparation.","E-discovery tools and processes Document review and production Litigation support software (e.g., Relativity) Data analysis Case management Communication with legal teams Technical proficiency Attention to detail Problem-solving Legal research skills",Jubilant Foodworks
3 to 12 Years,B.Com,$59K-$83K,Saint John's,Full-Time,Veterinarian,Small Animal Veterinarian,"A Small Animal Veterinarian provides medical care to small pets, such as dogs and cats. They diagnose illnesses, perform surgeries, and advise pet owners on healthcare practices.",Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail,BlackRock
2 to 15 Years,BA,$55K-$83K,Kathmandu,Contract,Marketing Specialist,Content Marketing Manager,"Content Marketing Managers oversee the creation and distribution of content to attract and engage customers. They develop content strategies, manage content teams, and track performance metrics to optimize content marketing efforts.",Content strategy Content creation Blog management Content promotion SEO Analytics and reporting,CarMax
5 to 9 Years,B.Com,$62K-$125K,Moroni,Full-Time,Customer Success Manager,Account Manager,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.",Account management Customer relationship management Sales and negotiation Business development Client needs analysis,Albemarle
4 to 15 Years,B.Com,$61K-$120K,Belmopan,Part-Time,HR Coordinator,Benefits Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.",Employee benefits administration Benefits compliance HRIS Benefits communication,Interpublic Group
1 to 15 Years,M.Com,$61K-$95K,Bishkek,Part-Time,Family Lawyer,Mediator,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,Walt Disney
3 to 14 Years,PhD,$59K-$111K,Skopje,Part-Time,Account Director,Account Strategist,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Spotify Technology S.A.
4 to 12 Years,BA,$55K-$105K,Yerevan,Part-Time,Finance Manager,Accounting Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",Accounting principles Financial reporting Team management Budgeting Financial analysis,Procter & Gamble
5 to 12 Years,B.Com,$59K-$114K,Funafuti,Contract,Landscape Architect,Urban Planner,"Develop and implement urban planning strategies, manage land use, and ensure sustainable city development.",Urban design and planning Zoning regulations GIS and mapping tools,Legal & General Group
2 to 8 Years,MBA,$60K-$106K,Khartoum,Contract,Nurse Practitioner,Primary Care Nurse Practitioner,"Primary Care Nurse Practitioners provide essential healthcare services, diagnosing and treating common medical conditions, and offering preventive care to patients.",Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR),Colgate-Palmolive
1 to 10 Years,BCA,$60K-$87K,Budapest,Part-Time,Landscape Designer,Commercial Landscape Architect,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,Bosch Group
3 to 9 Years,B.Tech,$62K-$104K,Asmara,Part-Time,Business Development Manager,Sales Manager,"A Sales Manager leads and guides the sales team, sets sales targets, develops sales strategies, and monitors performance to achieve revenue and growth objectives.",Sales management Sales strategy development Team leadership,Sun Pharmaceutical Industries
2 to 9 Years,M.Tech,$65K-$91K,Bandar Seri Begawan,Part-Time,Customer Support Specialist,Help Desk Analyst,"Help Desk Analysts provide technical support and assistance to internal employees or external customers. They troubleshoot hardware and software issues, offer solutions, and document support interactions to maintain a reliable IT environment.",Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills,IBM (International Business Machines Corporation)
5 to 10 Years,MCA,$61K-$112K,Moroni,Full-Time,Event Planner,Wedding Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,Williams-Sonoma
0 to 12 Years,B.Com,$60K-$127K,Porto-Novo,Intern,Sales Representative,Inside Sales Representative,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building",Lumen Technologies
3 to 13 Years,B.Tech,$62K-$117K,Brussels,Full-Time,Architect,Sustainable Design Specialist,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.",Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Estée Lauder
1 to 10 Years,BCA,$61K-$126K,Torshavn,Intern,Family Lawyer,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.",Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation,Zoetis
0 to 14 Years,BBA,$60K-$84K,Rome,Full-Time,Customer Support Specialist,Technical Support Specialist,"Technical Support Specialists assist customers or end-users with technical issues related to products or services. They provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction.","Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation",Agricultural Bank of China
4 to 8 Years,M.Com,$60K-$80K,Niamey,Contract,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Hartford Financial Services Group
1 to 12 Years,B.Tech,$56K-$80K,Manila,Part-Time,HR Coordinator,Benefits Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.",Employee benefits administration Benefits compliance HRIS Benefits communication,Whitehaven Coal
1 to 14 Years,B.Tech,$58K-$106K,Athens,Intern,Electrical Engineer,Controls Engineer,"Controls Engineers specialize in industrial automation, designing and implementing control systems for machinery and manufacturing processes. They optimize efficiency and safety.",Control system design PLC programming Automation Instrumentation System integration,Lam Research
5 to 10 Years,BCA,$64K-$113K,Kampala,Contract,Pediatrician,General Pediatrician,"General Pediatricians provide medical care to infants, children, and adolescents. They diagnose and treat various pediatric conditions, offer preventive care, and educate patients and parents on child health and well-being.",Pediatrics Pediatric care Diagnosis and treatment Pediatric medical procedures Patient care Communication skills,Synchrony Financial
2 to 13 Years,M.Com,$60K-$106K,Luanda,Intern,Office Manager,Facilities Manager,"Facilities Managers manage facilities and building operations. They oversee maintenance, security, and facility improvements to provide a safe and efficient working environment.",Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management,Qurate Retail
0 to 10 Years,M.Com,$63K-$99K,Budapest,Intern,Physical Therapist,Pediatric Physical Therapist,"Specialize in providing physical therapy to children, addressing developmental and mobility issues.",Pediatric rehabilitation Developmental assessments Child psychology knowledge,Westinghouse Air Brake Technologies
1 to 12 Years,B.Tech,$56K-$113K,Oranjestad,Intern,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Consolidated Edison
1 to 14 Years,B.Com,$61K-$111K,Lima,Part-Time,Financial Advisor,Investment Advisor,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.",Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance,Centrica
1 to 10 Years,MCA,$59K-$92K,San Marino,Part-Time,Marketing Specialist,Digital Marketing Specialist,"Digital Marketing Specialists create and execute online marketing campaigns. They utilize digital channels like social media, email, and SEO to reach target audiences, generate leads, and improve brand visibility and engagement.",Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting,Casey's General Stores
3 to 8 Years,MBA,$62K-$114K,SÃ£o TomÃ©,Intern,Art Director,Visual Designer,"Visual Designers create visual content, including graphics, illustrations, and layouts, to convey messages and enhance brand identity.",Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation,Huntington Bancshares
4 to 9 Years,B.Tech,$57K-$106K,Dakar,Intern,Systems Engineer,Cloud Systems Engineer,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability","Fidelity Investments, Inc."
2 to 12 Years,PhD,$59K-$85K,Charlotte Amalie,Intern,Network Administrator,Network Security Analyst,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,Taylor Wimpey
5 to 10 Years,BBA,$58K-$129K,Gibraltar,Full-Time,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",BlueScope Steel
2 to 8 Years,MBA,$63K-$101K,Port Vila,Full-Time,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,Commerzbank AG
0 to 10 Years,B.Tech,$64K-$100K,Chisinau,Intern,UX/UI Designer,Interaction Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,Ramsay Health Care
2 to 11 Years,B.Tech,$64K-$112K,Bandar Seri Begawan,Full-Time,Speech Therapist,Pediatric Speech Therapist,Pediatric Speech Therapists provide speech therapy to children with speech and language disorders. They assess and treat communication difficulties to improve language skills.,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills,Persimmon plc
4 to 10 Years,MBA,$65K-$89K,Tarawa,Intern,Litigation Attorney,Trial Attorney,"Trial Attorneys represent clients in legal proceedings. They prepare cases, conduct trials, and provide legal counsel to clients involved in civil or criminal litigation.",Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing,Berkeley Group Holdings
5 to 15 Years,B.Com,$63K-$117K,Vilnius,Part-Time,Supply Chain Manager,Logistics Manager,"A Logistics Manager oversees the movement and storage of goods in a supply chain. They plan, implement, and manage the efficient transportation and distribution of products.",Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management,Nordstrom
2 to 8 Years,B.Tech,$62K-$125K,Bratislava,Intern,Web Developer,Frontend Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",Hargreaves Lansdown
2 to 13 Years,BBA,$55K-$102K,Juba,Contract,Software Engineer,Frontend Developer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",Henry Schein
5 to 15 Years,BA,$58K-$102K,Sucre (de jure),Part-Time,SEM Specialist,SEM Analyst,"SEM Analysts analyze search engine marketing (SEM) campaigns. They monitor performance, optimize keyword strategies, and provide insights to improve the effectiveness of SEM efforts.",Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management,APA
1 to 10 Years,B.Tech,$65K-$120K,Victoria,Part-Time,Personal Assistant,Personal Secretary,"Personal Secretaries provide administrative support to individuals or executives. They manage schedules, handle correspondence, and assist with various tasks to ensure efficiency.",Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality,Edison International
5 to 9 Years,BCA,$63K-$99K,Vientiane,Contract,Software Engineer,Frontend Developer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",Abbott Laboratories
2 to 11 Years,MCA,$61K-$85K,Bridgetown,Part-Time,Landscape Designer,Commercial Landscape Architect,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,Nvidia
1 to 13 Years,B.Tech,$65K-$80K,Dhaka,Full-Time,Wedding Planner,Wedding Consultant,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.",Wedding planning Vendor coordination Event management,McDonald's
4 to 14 Years,B.Com,$61K-$89K,"Malabo (de jure),",Full-Time,Email Marketing Specialist,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.","Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail",Qube Holdings
0 to 9 Years,B.Com,$57K-$116K,Minsk,Part-Time,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",Live Nation Entertainment
4 to 8 Years,PhD,$59K-$118K,SÃ£o TomÃ©,Full-Time,Sales Representative,Account Executive,"Account Executives manage and grow relationships with existing clients or customers. They understand client needs, propose solutions, negotiate contracts, and ensure customer satisfaction, often working closely with sales and customer support teams.",Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting,Fidelity National Financial
0 to 15 Years,BA,$57K-$125K,Budapest,Intern,Systems Engineer,Systems Integration Specialist,"The role of a Systems Integration Specialist involves integrating various software and hardware components to create cohesive systems. You will design and implement solutions that enable different systems to communicate and work together seamlessly. Your responsibilities also include troubleshooting integration issues, ensuring data consistency, and collaborating with cross-functional teams.",Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,National Australia Bank (NAB)
3 to 15 Years,BCA,$64K-$83K,Port of Spain,Contract,UX Researcher,User Researcher,"Conduct user research to understand customer needs, preferences, and behaviors to inform product development.",User research methods Usability testing Data analysis and interpretation,Sinopharm Group
0 to 9 Years,BBA,$65K-$99K,Abuja,Intern,IT Support Specialist,Desktop Support Technician,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",CRRC Corporation
